kind,match_id,outcome,date,label,selection,verdict,score,model_prob,market_implied,edge,ev,decimal_odds,stake_usd,why,cautions,stake_raw_usd
match,34,away,2026-06-20,Germany vs Ivory Coast,Ivory Coast (away),PASS,2.99,0.2442,0.1611,0.0831,0.4042,5.75,0.0,"model 24% vs market fair 16% = +8.3pp edge, EV +0.40/$1 at 5.75",line moved AGAINST model since open (5.50→5.75) — the market is hardening the other way | coin-flip match (entropy 1.53 bits) — stake halved | signal too weak after bias haircuts,0.0
match,12,home,2026-06-14,Tunisia vs Sweden,Tunisia (home),PASS,2.18,0.2906,0.2209,0.0697,0.2496,4.3,0.0,"model 29% vs market fair 22% = +7.0pp edge, EV +0.25/$1 at 4.30",line moved AGAINST model since open (3.90→4.30) — the market is hardening the other way | coin-flip match (entropy 1.58 bits) — stake halved | signal too weak after bias haircuts,0.0
match,23,away,2026-06-17,Ghana vs Panama,Panama (away),PASS,2.0,0.3956,0.2714,0.1242,0.3846,3.5,0.0,"model 40% vs market fair 27% = +12.4pp edge, EV +0.38/$1 at 3.50",line moved AGAINST model since open (3.20→3.50) — the market is hardening the other way | coin-flip match (entropy 1.54 bits) — stake halved | CONCACAF selection — model inflation documented (Mexico ~+6pp); edge partly model error | signal too weak after bias haircuts,0.0
futures,,,,Tournament winner,Japan,PASS,1.95,0.0484,0.0115,0.0369,2.1944,66.0,0.0,"model 4.8% vs market fair 1.1% = +3.7pp edge, EV +2.19/$1 at 6500","sub-5% winner prob — thin sim support, keep stake token-sized | signal too weak after bias haircuts",0.0
futures,,,,Tournament winner,Mexico,PASS,1.9,0.0703,0.009,0.0613,4.6943,81.0,0.0,"model 7.0% vs market fair 0.9% = +6.1pp edge, EV +4.69/$1 at 8000",CONCACAF — documented model inflation; treat most of this edge as model error | signal too weak after bias haircuts,0.0
match,13,away,2026-06-15,Spain vs Cape Verde,Cape Verde (away),PASS,1.66,0.0718,0.0274,0.0444,0.8668,26.0,0.0,"model 7% vs market fair 3% = +4.4pp edge, EV +0.87/$1 at 26.00",longshot — ELO compression inflates underdog probs (model bias) | signal too weak after bias haircuts,0.0
match,25,home,2026-06-18,South Africa vs Czechia,South Africa (home),PASS,1.53,0.2522,0.1934,0.0588,0.2358,4.9,0.0,"model 25% vs market fair 19% = +5.9pp edge, EV +0.24/$1 at 4.90",line moved AGAINST model since open (4.00→4.90) — the market is hardening the other way | coin-flip match (entropy 1.56 bits) — stake halved | signal too weak after bias haircuts,0.0
match,45,away,2026-06-23,Portugal vs Uzbekistan,Uzbekistan (away),PASS,1.33,0.1432,0.071,0.0722,0.7184,12.0,0.0,"model 14% vs market fair 7% = +7.2pp edge, EV +0.72/$1 at 12.00",longshot — ELO compression inflates underdog probs (model bias) | signal too weak after bias haircuts,0.0
match,9,away,2026-06-14,Germany vs Curacao,Curacao (away),PASS,1.28,0.0879,0.0166,0.0713,1.7249,31.0,0.0,"model 9% vs market fair 2% = +7.1pp edge, EV +1.72/$1 at 31.00",longshot — ELO compression inflates underdog probs (model bias) | CONCACAF selection — model inflation documented (Mexico ~+6pp); edge partly model error | signal too weak after bias haircuts,0.0
match,41,away,2026-06-22,Argentina vs Austria,Austria (away),PASS,1.23,0.2167,0.1628,0.0539,0.246,5.75,0.0,"model 22% vs market fair 16% = +5.4pp edge, EV +0.25/$1 at 5.75",line moved AGAINST model since open (5.25→5.75) — the market is hardening the other way | signal too weak after bias haircuts,0.0
match,18,away,2026-06-16,Norway vs Iraq,Iraq (away),PASS,1.0,0.3167,0.059,0.2577,3.4338,14.0,0.0,"model 32% vs market fair 6% = +25.8pp edge, EV +3.43/$1 at 14.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (6.00→14.00) — the market is hardening the other way | coin-flip match (entropy 1.57 bits) — stake halved | signal too weak after bias haircuts,0.0
match,20,away,2026-06-16,Austria vs Jordan,Jordan (away),PASS,1.0,0.3034,0.1002,0.2032,1.7306,9.0,0.0,"model 30% vs market fair 10% = +20.3pp edge, EV +1.73/$1 at 9.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (7.00→9.00) — the market is hardening the other way | coin-flip match (entropy 1.53 bits) — stake halved | signal too weak after bias haircuts,0.0
match,38,away,2026-06-21,Belgium vs Iran,Iran (away),PASS,1.0,0.3404,0.113,0.2274,1.7232,8.0,0.0,"model 34% vs market fair 11% = +22.7pp edge, EV +1.72/$1 at 8.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (7.50→8.00) — the market is hardening the other way | coin-flip match (entropy 1.57 bits) — stake halved | signal too weak after bias haircuts,0.0
match,5,home,2026-06-13,Qatar vs Switzerland,Qatar (home),PASS,1.0,0.1822,0.0609,0.1213,1.5508,14.0,0.0,"model 18% vs market fair 6% = +12.1pp edge, EV +1.55/$1 at 14.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (7.00→14.00) — the market is hardening the other way | signal too weak after bias haircuts,0.0
match,24,home,2026-06-17,Uzbekistan vs Colombia,Uzbekistan (home),PASS,1.0,0.2447,0.0996,0.1451,1.2023,9.0,0.0,"model 24% vs market fair 10% = +14.5pp edge, EV +1.20/$1 at 9.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (6.00→9.00) — the market is hardening the other way | coin-flip match (entropy 1.55 bits) — stake halved | signal too weak after bias haircuts,0.0
match,19,away,2026-06-16,Argentina vs Algeria,Algeria (away),PASS,1.0,0.2142,0.1005,0.1137,0.9278,9.0,0.0,"model 21% vs market fair 10% = +11.4pp edge, EV +0.93/$1 at 9.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (7.50→9.00) — the market is hardening the other way | signal too weak after bias haircuts,0.0
match,44,home,2026-06-22,Jordan vs Algeria,Jordan (home),PASS,1.0,0.275,0.1325,0.1425,0.925,7.0,0.0,"model 28% vs market fair 13% = +14.2pp edge, EV +0.93/$1 at 7.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (4.90→7.00) — the market is hardening the other way | coin-flip match (entropy 1.56 bits) — stake halved | signal too weak after bias haircuts,0.0
match,15,home,2026-06-15,Saudi Arabia vs Uruguay,Saudi Arabia (home),PASS,1.0,0.2366,0.114,0.1226,0.8928,8.0,0.0,"model 24% vs market fair 11% = +12.3pp edge, EV +0.89/$1 at 8.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (5.00→8.00) — the market is hardening the other way | coin-flip match (entropy 1.54 bits) — stake halved | signal too weak after bias haircuts,0.0
match,59,home,2026-06-25,USA vs Turkey,USA (home),PASS,0.99,0.4344,0.3846,0.0498,0.086,2.5,0.0,"model 43% vs market fair 38% = +5.0pp edge, EV +0.09/$1 at 2.50",coin-flip match (entropy 1.55 bits) — stake halved | CONCACAF selection — model inflation documented (Mexico ~+6pp); edge partly model error | signal too weak after bias haircuts,0.0
match,48,away,2026-06-23,Colombia vs DR Congo,DR Congo (away),PASS,0.78,0.2103,0.114,0.0963,0.6824,8.0,0.0,"model 21% vs market fair 11% = +9.6pp edge, EV +0.68/$1 at 8.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (7.00→8.00) — the market is hardening the other way | coin-flip match (entropy 1.51 bits) — stake halved | signal too weak after bias haircuts,0.0
match,31,away,2026-06-19,Brazil vs Haiti,Haiti (away),PASS,0.69,0.0904,0.0289,0.0615,1.3504,26.0,0.0,"model 9% vs market fair 3% = +6.2pp edge, EV +1.35/$1 at 26.00",longshot — ELO compression inflates underdog probs (model bias) | CONCACAF selection — model inflation documented (Mexico ~+6pp); edge partly model error | signal too weak after bias haircuts,0.0
match,68,away,2026-06-27,Croatia vs Ghana,Ghana (away),PASS,0.56,0.2065,0.1638,0.0427,0.1874,5.75,0.0,"model 21% vs market fair 16% = +4.3pp edge, EV +0.19/$1 at 5.75",line moved AGAINST model since open (5.00→5.75) — the market is hardening the other way | signal too weak after bias haircuts,0.0
match,71,home,2026-06-27,Jordan vs Argentina,Jordan (home),PASS,0.25,0.1105,0.0563,0.0542,0.6575,15.0,0.0,"model 11% vs market fair 6% = +5.4pp edge, EV +0.66/$1 at 15.00",longshot — ELO compression inflates underdog probs (model bias) | signal too weak after bias haircuts,0.0
match,37,away,2026-06-21,Spain vs Saudi Arabia,Saudi Arabia (away),PASS,0.1,0.1176,0.0326,0.085,1.7048,23.0,0.0,"model 12% vs market fair 3% = +8.5pp edge, EV +1.70/$1 at 23.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (20.00→23.00) — the market is hardening the other way | signal too weak after bias haircuts,0.0
match,31,draw,2026-06-19,Brazil vs Haiti,Draw (draw),PASS,0.0,0.2029,0.0663,0.1366,1.6377,13.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,42,draw,2026-06-22,France vs Iraq,Draw (draw),PASS,0.0,0.2722,0.1001,0.1721,1.4498,9.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,13,draw,2026-06-15,Spain vs Cape Verde,Draw (draw),PASS,0.0,0.1937,0.0708,0.1229,1.3244,12.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,37,draw,2026-06-21,Spain vs Saudi Arabia,Draw (draw),PASS,0.0,0.1949,0.0787,0.1162,1.1439,11.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,56,draw,2026-06-25,Curacao vs Ivory Coast,Draw (draw),PASS,0.0,0.3055,0.132,0.1735,1.1385,7.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,5,draw,2026-06-13,Qatar vs Switzerland,Draw (draw),PASS,0.0,0.3029,0.1312,0.1717,1.1203,7.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,71,draw,2026-06-27,Jordan vs Argentina,Draw (draw),PASS,0.0,0.2788,0.1219,0.1569,1.091,7.5,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,9,draw,2026-06-14,Germany vs Curacao,Draw (draw),PASS,0.0,0.1284,0.0434,0.085,1.0544,16.0,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
